epoch,w2_loss_train_samples,g_OT_train_loss,g_constraints_train_loss,remaining_f_train_loss,mu_2moment_train_loss,miu_mean_train,miu_var_train
16,5434.507304954316,"[-4856.411727939181, -2025.4498478529183, -5.522874712513556, -9.636736889945135, -2.609213060753213]",0.006219320023244821,"[-4921.838233439127, -2055.6280526224773, -8.458854515949884, -52.54668467362722, -4.658285914858182]",1394.1709895833324,"[-3.0325989723205566, 3.1130404472351074]","[[1339.9954916436375, -695.1749337566433], [-695.1749337566433, 1457.2404131582186]]"
17,5435.254679498649,"[-4861.976126115587, -2027.0380445098876, -4.710722890463142, -7.664189771016438, -2.6833113704456237]",0.005444586388136184,"[-4916.440330810547, -2055.994233042399, -9.225622846682866, -54.40824146429698, -4.6031225564082465]",1394.9413416341147,"[-3.1529695987701416, 3.3165059089660645]","[[1336.501408515581, -691.9641069371412], [-691.9641069371412, 1460.173102389241]]"
18,5434.85932416506,"[-4858.915830485028, -2028.0296826171907, -4.1819317046138975, -6.0195480211575765, -2.6515140294863118]",0.00708202788426812,"[-4921.01508605957, -2053.6900354003906, -9.78361121058464, -56.182090678215026, -4.596368983983994]",1394.8080151367171,"[-2.943708658218384, 3.064044713973999]","[[1341.8849555114407, -695.9033369480992], [-695.9033369480992, 1457.3932808634697]]"
19,5434.802697236819,"[-4875.449247606068, -2033.7498524475106, -3.5628787933124446, -5.240320533646481, -2.580403252691031]",0.005811124846222807,"[-4904.384957275391, -2048.3721629333495, -10.378542359670003, -56.830944129625955, -4.690812811056773]",1394.8145683593739,"[-3.2466118335723877, 3.0681169033050537]","[[1338.9469309809065, -694.2599871630234], [-694.2599871630234, 1458.41968720417]]"
20,5434.901215120941,"[-4872.201076117621, -2028.8023266855876, -3.21151606308089, -4.157390080557931, -2.5652609819339385]",0.004104463825933637,"[-4906.232237548828, -2052.4391778564454, -10.744195499420165, -57.97300612926483, -4.69922941784064]",1394.4209012044282,"[-3.0199592113494873, 3.1601274013519287]","[[1339.2864761507649, -695.1582363200673], [-695.1582363200673, 1458.2588141459405]]"
21,5435.917787741635,"[-4883.229462398956, -2029.1379763624418, -3.2550013863378124, -3.360049908690982, -2.5100847637653336]",0.0016786444515310007,"[-4897.37655090332, -2054.7623866271974, -10.700227164824804, -58.8510546763738, -4.723518924713135]",1395.9053668619802,"[-2.9089653491973877, 3.054448127746582]","[[1339.8740648218786, -693.0032337567133], [-693.0032337567133, 1462.1428808858884]]"
22,5436.217052737725,"[-4874.825594431566, -2025.7993107859318, -3.2003244037098324, -3.3079673552513125, -2.46955966124932]",0.0013231242659417647,"[-4902.452068888347, -2056.5109513346356, -10.781516549189886, -58.829847466150916, -4.773498764038086]",1395.0638463541657,"[-2.8515005111694336, 3.1283271312713623]","[[1337.3283969542058, -692.9032395775185], [-692.9032395775185, 1462.8709037100584]]"
23,5436.094825595329,"[-4880.280438368058, -2027.5464553663442, -3.063332773115902, -2.874997974236805, -2.4849806000788983]",0.001280810695696142,"[-4887.08181254069, -2050.060502878825, -10.891706127325694, -59.236539885203044, -4.744579165776571]",1392.065716308595,"[-2.8721187114715576, 3.0042362213134766]","[[1340.1363323603946, -692.797705231865], [-692.797705231865, 1454.6538484700427]]"
24,5436.148584768928,"[-4879.873875342477, -2028.0768285030802, -3.0081922011242983, -2.771311818228828, -2.5001690111060944]",0.0012843686350808821,"[-4898.603008829753, -2052.525478159587, -10.95671439687411, -59.35668188095093, -4.753020284771919]",1394.9245901692714,"[-2.984814167022705, 3.115485429763794]","[[1339.9982322448307, -695.9015833420934], [-695.9015833420934, 1459.206702818545]]"
25,5436.124396929381,"[-4881.174767167828, -2027.174758461847, -2.8792901756366094, -2.2693640886412734, -2.5158924595680516]",0.0012616629513730812,"[-4896.243825073242, -2053.764980316162, -11.073577067454655, -59.770268516540526, -4.736630052725474]",1394.7480856119785,"[-3.029367446899414, 3.1175377368927]","[[1340.7556174521317, -694.3710838229148], [-694.3710838229148, 1457.7993117201]]"
26,5435.9882790264255,"[-4880.149785207112, -2026.230105955335, -2.8442239041460913, -2.013496478398641, -2.5162381364239574]",0.0012929898376508697,"[-4894.151172281901, -2054.5628249104816, -11.095091861486434, -60.007145477930706, -4.747945841153463]",1394.0229575195322,"[-3.080348491668701, 3.1788527965545654]","[[1337.1295351620365, -691.9270154377637], [-691.9270154377637, 1459.2627519856637]]"
27,5436.061704612545,"[-4874.377241397434, -2024.1551940494128, -2.7618148636817934, -1.5590592614809662, -2.557632600069047]",0.0013018363415580499,"[-4890.597943318685, -2053.2710031636557, -11.14291243036588, -60.32122072060903, -4.705031279126803]",1391.4858802083336,"[-3.0982987880706787, 3.2663774490356445]","[[1333.8194408370541, -689.4715527790412], [-689.4715527790412, 1456.7514917798221]]"
28,5436.119888367494,"[-4881.652200995553, -2024.180301462808, -2.707831086913746, -1.1502535417344837, -2.5885422613885694]",0.0012223765938041565,"[-4900.031732177735, -2057.0319484965007, -11.227094915310541, -60.82347006162008, -4.6848276656866075]",1395.640790201822,"[-3.229253053665161, 3.141125202178955]","[[1340.9460037055524, -696.3601712084792], [-696.3601712084792, 1458.0043018081178]]"
29,5436.053720010224,"[-4879.830975002714, -2023.3504703691267, -2.7681563187307807, -0.8307222098774382, -2.6172790357304927]",0.0012325820798044643,"[-4892.3939599609375, -2055.4541000874838, -11.164773244857788, -61.21951570828756, -4.644044748942057]",1393.2468750000003,"[-3.150254011154175, 3.055325746536255]","[[1338.2544576994123, -693.436115609188], [-693.436115609188, 1456.911197766097]]"
30,5436.0645857277705,"[-4876.370527733698, -2021.5050605180538, -2.8427361628744334, -0.3267628833982679, -2.6486883733007662]",0.0012793758506126724,"[-4893.007285766602, -2057.112173716227, -11.093843768835068, -61.694602853457134, -4.609152081211408]",1392.639676920573,"[-3.1485023498535156, 3.096857786178589]","[[1335.0086526852094, -691.3316660957786], [-691.3316660957786, 1458.6822812361677]]"
31,5436.152260175912,"[-4877.236801130505, -2022.1584677463102, -2.9328004729085464, 0.16685631804996068, -2.675853684544567]",0.0012983656172016508,"[-4899.286521606446, -2058.1045856730143, -11.009512607256571, -62.140114294687905, -4.574960120916367]",1394.4318930664067,"[-3.1182305812835693, 3.11228609085083]","[[1341.1611290379878, -694.7069870644262], [-694.7069870644262, 1456.212882163126]]"
32,5436.153503240787,"[-4875.473084699843, -2021.6298116641597, -2.9669926614231574, 0.4145308444235059, -2.700491947829722]",0.001311787051801932,"[-4896.044765218099, -2055.060161336263, -10.975692879358927, -62.387200493812564, -4.548578107953071]",1392.7164189453144,"[-3.101979970932007, 3.1078555583953857]","[[1336.1790274135042, -695.8256782420315], [-695.8256782420315, 1457.872714198213]]"
33,5436.031598364849,"[-4874.955534244117, -2019.2415256245938, -3.0336189426316142, 0.6564235891236198, -2.675662316895195]",0.001293251486414293,"[-4894.9876629638675, -2061.019958750407, -10.909384185473124, -62.65887437661489, -4.571526259382566]",1393.0604934895837,"[-3.040558099746704, 3.18711519241333]","[[1338.9434644810365, -689.7330682438825], [-689.7330682438825, 1455.6958315905404]]"
34,5436.28463238859,"[-4877.5213005404985, -2021.4528593614364, -3.063285558157499, 0.8199407296710546, -2.6811749263604487]",0.0013464362864033315,"[-4900.933412679036, -2059.191434122721, -10.891805562575659, -62.82168355623881, -4.573996224602063]",1394.9697456054691,"[-3.0792770385742188, 3.1558704376220703]","[[1340.1006283321838, -695.054728205731], [-695.054728205731, 1458.3249942993793]]"
35,5435.994328970066,"[-4875.383080783419, -2021.074428829616, -3.064404486682679, 0.8745812617407908, -2.6790309412611832]",0.0013041503274871505,"[-4900.027037963867, -2059.9073099772136, -10.89032903234164, -62.9756365776062, -4.573636719187101]",1394.3024401041666,"[-3.0199649333953857, 3.0806658267974854]","[[1336.030342153252, -693.0385554298393], [-693.0385554298393, 1461.9123740248406]]"
36,5436.013219203855,"[-4875.331336466466, -2019.0922114986845, -3.1736926927169136, 1.018472307788003, -2.6694487977359036]",0.0013230601797759938,"[-4889.838651529948, -2058.327174173991, -10.77253655632337, -63.0622009118398, -4.575179727077484]",1391.5366233723958,"[-3.0102362632751465, 3.112147331237793]","[[1339.6603699100149, -690.7900591064177], [-690.7900591064177, 1452.5678118041765]]"
37,5436.068831510266,"[-4878.006862403022, -2022.3510069698782, -3.205987498296632, 1.4183629616101585, -2.6780045020911434]",0.0012835825038928301,"[-4903.498829956055, -2059.909440460205, -10.764321699142457, -63.45354312260945, -4.577442034284274]",1395.8050489908856,"[-3.0121653079986572, 3.1595163345336914]","[[1340.3792667447508, -695.6269659077877], [-695.6269659077877, 1460.1481700141046]]"
38,5436.101013285603,"[-4874.4566236538385, -2019.548648249308, -3.2755112216207705, 1.6920950055122366, -2.691626557177968]",0.001247871940245709,"[-4891.81192993164, -2056.914415537516, -10.668781740268072, -63.677463887532554, -4.5566264422734575]",1391.5976295572916,"[-3.079775094985962, 3.0702884197235107]","[[1336.1791020569317, -692.8482086362619], [-692.8482086362619, 1456.0040918177722]]"
39,5435.851017017999,"[-4877.404138963488, -2022.7063882700584, -3.3518639776441765, 1.9992926088968899, -2.7058036337461737]",0.0011907567772707103,"[-4898.644224039714, -2057.3009177652993, -10.602547850211462, -63.990980626742044, -4.554682707190514]",1394.14317236328,"[-3.0828328132629395, 3.201064109802246]","[[1339.3067167892227, -694.7186569738612], [-694.7186569738612, 1457.165392452098]]"
40,5436.071501501544,"[-4875.54671451145, -2022.046070421007, -3.333414953218564, 2.2006591166390326, -2.699775480528673]",0.001150276385827357,"[-4902.758872884115, -2061.0037224324547, -10.619138652483622, -64.26742209275564, -4.567717538277308]",1395.3294104817708,"[-3.0699894428253174, 3.174757242202759]","[[1337.6142500252452, -692.0068501627039], [-692.0068501627039, 1461.5007194861296]]"
41,5436.171138020417,"[-4881.787299465599, -2022.4647533586292, -3.257921274900438, 2.6276208562321126, -2.7204104516738]",0.0011015969480407267,"[-4849.379172363281, -2040.549635925293, -10.626981668869654, -64.39386217753092, -4.486076603134473]",1381.8584876302086,"[-2.9054250717163086, 3.163003444671631]","[[1336.7835559614734, -686.7765103206119], [-686.7765103206119, 1436.2094622196412]]"
42,5436.311355942787,"[-4874.922751854791, -2022.7599824184842, -3.3144678890705115, 2.6503292393684386, -2.7207590234610777]",0.0011356430598162756,"[-4899.795393880208, -2043.7222863769532, -10.606705855925878, -64.34406880219777, -4.507298183639844]",1391.329584472657,"[-3.056764841079712, 3.213169813156128]","[[1351.6175743297, -713.6032596414906], [-713.6032596414906, 1439.274313259509]]"
43,5436.184649591272,"[-4875.7816879442, -2019.6867482588036, -3.2940571709473963, 2.457578808201681, -2.7169650099509264]",0.001148895460759781,"[-4890.953102416992, -2061.7615006001793, -10.648002857367198, -64.5170640150706, -4.551378558476766]",1392.7481264648434,"[-3.110863208770752, 3.177231550216675]","[[1332.6268663610347, -685.354397369209], [-685.354397369209, 1461.0277233881252]]"
44,5436.22092546524,"[-4875.266007978648, -2021.9050623745393, -3.2381843187411627, 2.412394692632886, -2.7061832479635872]",0.001138377498541052,"[-4907.174660441081, -2064.436068572998, -10.744932386477789, -64.57000253518423, -4.574596035877864]",1396.91632763672,"[-3.063654899597168, 3.1512577533721924]","[[1338.884891277898, -690.2764082387971], [-690.2764082387971, 1463.6499942990192]]"
45,5436.25547782808,"[-4873.267970275877, -2020.4734482150611, -3.1782536888784834, 2.6565907353825056, -2.6971981049742975]",0.0011434930262233449,"[-4886.986280721028, -2052.963083852132, -10.762609467903774, -64.62610098044078, -4.547175712386767]",1389.862052083333,"[-2.9689531326293945, 3.118368625640869]","[[1333.5171083277348, -692.8957436562546], [-692.8957436562546, 1455.5508847412757]]"
46,5436.236297391515,"[-4882.852470296216, -2025.5675495317253, -3.1853366139199975, 2.591500277784137, -2.706202580812904]",0.00114043071712432,"[-4905.956359456381, -2060.1841952514646, -10.793536028464635, -64.7615146668752, -4.559044847091039]",1398.078307779947,"[-3.0084776878356934, 3.112863779067993]","[[1342.6846217446584, -696.3093634006929], [-696.3093634006929, 1462.7788130199508]]"
47,5436.214966307775,"[-4873.591228502064, -2018.375462832981, -3.1226210972997874, 2.7088537944687734, -2.69096353299088]",0.0011609363617673008,"[-4889.349991861979, -2058.128931833903, -10.814301079511642, -64.73228904883067, -4.5531462009747825]",1391.0027124023427,"[-2.991868495941162, 3.105922222137451]","[[1340.203069752784, -690.5037663419467], [-690.5037663419467, 1451.111017859872]]"
48,5436.230907200772,"[-4873.956350640187, -2023.2948263719336, -3.1273890572124117, 2.7033512425422677, -2.700909067955283]",0.0011636144805379446,"[-4913.804469604493, -2059.3099113464355, -10.848793782393138, -64.80609002113343, -4.569505620996157]",1397.2236538085947,"[-3.031170129776001, 3.149827241897583]","[[1336.5957823009599, -699.7309465638174], [-699.7309465638174, 1466.7695895185125]]"
49,5436.221725164168,"[-4876.506762068004, -2018.208062099881, -3.0691190915637576, 2.8444883502854226, -2.695351563311289]",0.0011618686171115974,"[-4867.950624186198, -2051.615369415283, -10.850330495436987, -64.76327269236246, -4.53856572886308]",1385.9466818033854,"[-2.9626166820526123, 3.1224682331085205]","[[1337.0112038915627, -686.4798885874465], [-686.4798885874465, 1444.15707985048]]"
50,5436.207635744095,"[-4872.80197177463, -2022.2436655934648, -3.111281455755232, 2.8977783348825277, -2.7109117257098347]",0.0011634290281088194,"[-4916.493628133138, -2064.2249658203127, -10.875940646330516, -65.05863849957784, -4.555433535377184]",1398.3047775065102,"[-2.9633901119232178, 3.155717134475708]","[[1338.5395166570504, -695.5135694291473], [-695.5135694291473, 1467.3807124380687]]"
51,5436.232600737966,"[-4879.830612606475, -2023.4794185129808, -3.053732613590027, 3.024003695911833, -2.710819072657164]",0.0011604123335079454,"[-4891.500977172852, -2050.3690268961586, -10.892493355274201, -64.92827572663624, -4.532651672363281]",1392.1363188476569,"[-3.0087053775787354, 3.122628688812256]","[[1343.2703691369436, -700.6484607079341], [-700.6484607079341, 1450.1254349511526]]"
52,5436.258010892161,"[-4875.839899003771, -2020.2803696865471, -3.028801606231265, 2.981608408292131, -2.7268757004704716]",0.0011553899633468567,"[-4910.116439005534, -2070.784025115967, -10.949109522501628, -65.25644845167795, -4.5522274243831635]",1398.604743001303,"[-3.0449655055999756, 3.1448116302490234]","[[1343.175087127596, -686.2440516615789], [-686.2440516615789, 1462.923788146233]]"
53,5436.241028229732,"[-4873.632874145506, -2021.198522737292, -3.0167573752668146, 3.172796772850883, -2.728308760672808]",0.0011503680094109663,"[-4885.182253417969, -2051.1723285420735, -10.918654795885086, -65.12906624952952, -4.511652638514836]",1389.3492431640625,"[-2.9852962493896484, 3.1427979469299316]","[[1333.6631303550205, -693.2557609236783], [-693.2557609236783, 1454.1179378853776]]"
54,5436.205031470811,"[-4874.095198042126, -2021.4201490953203, -3.013318780064582, 3.1444786885049574, -2.7294051621192046]",0.0011315005595841081,"[-4893.904630737305, -2053.940119781494, -10.939656213124593, -65.10611866950988, -4.528672182758649]",1391.7742926432293,"[-3.080575466156006, 3.1546523571014404]","[[1338.290342057372, -695.4445937354883], [-695.4445937354883, 1453.726578526282]]"
55,5436.241115834099,"[-4875.148129492866, -2022.6901341925704, -2.9895335616005796, 3.1526282903883205, -2.7379786084261197]",0.0011330236652914514,"[-4904.713307291667, -2061.3396422831215, -10.988146138588588, -65.35884128411611, -4.532290321588516]",1395.9548668619786,"[-3.0401086807250977, 3.0704681873321533]","[[1330.619072295347, -691.8756375447044], [-691.8756375447044, 1470.6211207689173]]"
56,5436.22049008231,"[-4878.253377905951, -2020.5440519799113, -2.9823446898990196, 3.295548628171286, -2.7336436169677327]",0.0011189159263691796,"[-4888.988208414714, -2055.4232660420735, -10.970572719573974, -65.29489715417226, -4.5168702415625255]",1391.7577902018231,"[-3.061782121658325, 3.142451524734497]","[[1346.6763689280006, -694.3822263090339], [-694.3822263090339, 1445.5035505669596]]"
57,5436.241359309631,"[-4877.383028344052, -2023.6430482143828, -2.998468317190808, 3.2119216434160887, -2.7513066215316453]",0.0011125434141851858,"[-4916.770920410157, -2069.3950381469726, -10.988557664553324, -65.48437986214955, -4.53635472714901]",1400.63374609375,"[-3.095046281814575, 3.1697914600372314]","[[1339.0628258629026, -689.1844426318437], [-689.1844426318437, 1470.668084181964]]"
58,5436.196598852483,"[-4872.950546298558, -2019.957454037136, -2.8616828063461544, 3.4704834506246787, -2.732703397654824]",0.0011190327087064764,"[-4879.412791951498, -2047.1513494364422, -11.057800960143407, -65.29115807533265, -4.506421312689781]",1386.9538142903643,"[-3.0928239822387695, 3.1102025508880615]","[[1333.1067348835352, -695.9013931652255], [-695.9013931652255, 1449.3794113167983]]"
59,5436.1873367402695,"[-4876.965197177462, -2022.441748657226, -2.8474705384837247, 3.34027055634393, -2.743954191903276]",0.0011093149413823591,"[-4896.343003743489, -2058.408931020101, -11.10794266184171, -65.40541236877442, -4.525629593133926]",1393.9487119140617,"[-3.1347715854644775, 3.151331901550293]","[[1339.0966665851658, -691.3581900371075], [-691.3581900371075, 1456.995829104125]]"
60,5436.208369201745,"[-4874.409215477834, -2020.145084745618, -2.777657377454971, 3.5064255918396867, -2.7478048665490444]",0.0010964828107050072,"[-4901.135600992839, -2059.8741061909996, -11.178620320161183, -65.53596181074778, -4.513839721282324]",1394.2316832682293,"[-3.0694282054901123, 3.1658263206481934]","[[1341.573715419252, -694.4133082551701], [-694.4133082551701, 1455.4078799398571]]"
61,5436.230061989548,"[-4880.683154296878, -2029.3101225280745, -2.8170380253261964, 3.413267653253342, -2.765190050403277]",0.0010679122923789286,"[-4913.383550415039, -2056.916931559245, -11.165515403350195, -65.57832121531169, -4.52161316037178]",1399.22587923177,"[-3.099238395690918, 3.1623244285583496]","[[1333.2313420254834, -698.9322280849073], [-698.9322280849073, 1473.6776184767807]]"
62,5436.230991428052,"[-4877.242246788875, -2026.3719767167838, -2.7708458079232092, 3.4824270542462643, -2.7628856119513516]",0.0010694226327905192,"[-4904.5657019042965, -2054.416189219157, -11.193493846654892, -65.55936697006226, -4.513309733668963]",1395.6634305013017,"[-3.0971903800964355, 3.175600290298462]","[[1327.081291106488, -697.4982233682578], [-697.4982233682578, 1472.5592932121979]]"
63,5436.257640311029,"[-4873.534841630726, -2023.8097332000725, -2.7621210030052397, 3.5188135645124627, -2.760597196883627]",0.0010686233637210941,"[-4901.958738810222, -2057.48199315389, -11.197076707283657, -65.6150462436676, -4.514815085331599]",1394.5172596028654,"[-3.111990213394165, 3.1859679222106934]","[[1328.195057761563, -691.9732427090297], [-691.9732427090297, 1468.9704025809594]]"
64,5436.241129244046,"[-4873.153806745744, -2023.5768986426456, -2.7503128076924197, 3.5352420555220685, -2.7607569641371597]",0.0010688798220993088,"[-4903.196948649089, -2058.3743503316246, -11.204090153376262, -65.61155388514202, -4.513528239925702]",1394.8071730143224,"[-3.1326403617858887, 3.2006547451019287]","[[1337.3247836845483, -691.7319613359125], [-691.7319613359125, 1460.2007358648923]]"
65,5436.226651979403,"[-4877.276021287707, -2022.7928501807296, -2.7374271691507785, 3.5151298334863426, -2.761479443096452]",0.0010666904209534161,"[-4895.953848266601, -2058.592840016683, -11.209613976081213, -65.55638406117757, -4.510231935580571]",1394.0536492513015,"[-3.132892370223999, 3.2142889499664307]","[[1340.115089598128, -690.2092821919458], [-690.2092821919458, 1455.7983497429557]]"
66,5436.241663035659,"[-4876.625555080837, -2021.2280525207507, -2.722401413785084, 3.5434846112463183, -2.7595397233300742]",0.0010658568178041608,"[-4892.190970255534, -2059.4193297831216, -11.221586470603944, -65.58196943442027, -4.510923723181088]",1393.029434244793,"[-3.127148389816284, 3.2220356464385986]","[[1338.6702031692337, -687.9613851124648], [-687.9613851124648, 1455.1599037107426]]"
67,5436.231116862212,"[-4877.560544450553, -2020.38102734036, -2.7051168231831637, 3.5733019280433624, -2.755141490118373]",0.0010660263106142837,"[-4891.760915934245, -2055.8808987935386, -11.238548868497213, -65.49834638913472, -4.505260210235914]",1392.2232762044266,"[-3.1308929920196533, 3.2323338985443115]","[[1339.9362862277892, -694.7584684495404], [-694.7584684495404, 1452.1748004097647]]"
68,5436.242438742747,"[-4876.727795342341, -2021.4074372185628, -2.7081515167156858, 3.5925944434271937, -2.7556417553954677]",0.0010663390041170512,"[-4892.75796468099, -2054.449626159668, -11.229759274323781, -65.48334598859151, -4.503833755453428]",1392.1726248372393,"[-3.1146047115325928, 3.2403995990753174]","[[1339.816710337837, -695.5047594394398], [-695.5047594394398, 1452.2419882326876]]"
69,5436.248558463253,"[-4875.98466083103, -2021.4951985931405, -2.6905379593372287, 3.620984289381238, -2.7533511855204886]",0.0010674752198570388,"[-4889.081453653971, -2052.1348249816892, -11.251669452190399, -65.50113641103108, -4.503489682475726]",1390.8445703125012,"[-3.0911171436309814, 3.2394003868103027]","[[1338.3176149583612, -695.4701800115414], [-695.4701800115414, 1451.2122979781527]]"
70,5436.244877052107,"[-4875.516804792614, -2021.4586085679812, -2.6919115646017913, 3.6045386507776067, -2.753445380363201]",0.001064422561572024,"[-4889.280718180338, -2052.551294708252, -11.244598805904388, -65.50087619145711, -4.501557311415672]",1390.8667067057283,"[-3.069523572921753, 3.2363898754119873]","[[1339.2441144477789, -694.8736677150184], [-694.8736677150184, 1450.4846117529755]]"
71,5436.241084448461,"[-4875.03804633246, -2021.0159820471852, -2.681841516693434, 3.6223962966601038, -2.7510574566821266]",0.0010680701983154805,"[-4891.496907348633, -2052.9458377075193, -11.261624904870986, -65.51651118119558, -4.499952038327853]",1391.2028413085934,"[-3.0553810596466064, 3.2222282886505127]","[[1335.4539073473525, -696.2254266563378], [-696.2254266563378, 1455.1336632355378]]"
72,5436.237970884878,"[-4875.184086066351, -2021.0241477033799, -2.6884794583585503, 3.6099073468314318, -2.7559057323137894]",0.0010664984112534314,"[-4891.1387516276045, -2055.7971231587726, -11.257171289920807, -65.5969011370341, -4.502280497352282]",1391.751193033853,"[-3.0335750579833984, 3.2153215408325195]","[[1335.8269298540163, -692.0229391079698], [-692.0229391079698, 1456.0469747010072]]"
