epoch,w2_loss_train_samples,g_OT_train_loss,g_constraints_train_loss,remaining_f_train_loss,mu_2moment_train_loss
20,1237.9577249240867,"[-971.7056911611558, 103.80620976289113, -336.4628500477473, -1081.3631908067068, -1592.101134293874]",0.48509417455643417,"[-1221.6601426442464, -1383.6821081542969, -538.8127317810058, -1845.1519804382324, -1501.9622475687663]",1050.3026293945318
21,1798.844636915206,"[464.2410367155075, 52.16058670679728, -335.1186841583252, -1079.0980303192139, -1578.6359842999775]",0.224443460884504,"[-1203.1296779378256, -1377.9780045572916, -535.4004914855957, -1831.564469350179, -1499.713044535319]",1041.7742639973949
22,1198.9529137617756,"[-1022.2036606025696, 99.2365732574463, -330.0082619714737, -1055.0701701895396, -1595.9265628242492]",0.1638665722879038,"[-1229.723231048584, -1428.08662012736, -541.8049651845296, -1866.3445012919108, -1494.496062113444]",1049.866543619791
23,1343.7561624342604,"[-682.1467925771077, 101.45885194301606, -322.18860728899637, -1039.7135839589437, -1572.7709389050801]",0.1187762037239736,"[-1218.9862826538085, -1422.5131075032552, -546.0374049123128, -1876.7517536417643, -1497.3249974060059]",1044.7776088867186
24,3832.4917928816485,"[5569.817574458122, 123.46000019550324, -314.2540782276789, -1040.4462538464863, -1584.4626715691884]",0.14031295287791484,"[-1243.6086584472657, -1440.6617047627767, -554.0874080403646, -1887.5523824564616, -1504.5264326985678]",1049.0148932291672
25,1191.515435468992,"[-1032.536448949178, 139.65933256785075, -308.9547465078036, -1043.4005760192872, -1584.6150493081411]",0.10385745121204915,"[-1238.2120259602864, -1455.3480345662435, -558.7009582265218, -1880.5128372701008, -1505.679533030192]",1046.9224905598949
26,1317.6402940187452,"[-722.9788899326325, 164.02642048835753, -303.90296320676805, -1030.6946470737457, -1587.5291600259145]",0.05681953582854476,"[-1232.7242770894368, -1480.663455657959, -564.1484944915771, -1891.5665466308594, -1497.3527536519368]",1045.8316917317718
27,1257.2335956983557,"[-875.5039493513108, 174.81405500570932, -299.05187537431715, -1005.3466986401876, -1592.8171967315675]",0.040498237199305245,"[-1231.1632899475098, -1495.950191853841, -569.1290897115072, -1913.0568758646648, -1494.3354608662924]",1046.429506022135
28,1197.4619677750275,"[-1024.2604513295491, 179.31915405432383, -294.23599345286686, -984.027355038325, -1593.5896409829459]",0.03809790143326002,"[-1233.689515431722, -1499.2076341756185, -573.0438870747884, -1937.8818174235025, -1492.5215356953938]",1046.8633157552094
29,2003.378797107061,"[997.8666461022694, 190.02816040198007, -289.7714886919657, -968.495803308487, -1599.5640728886922]",0.04310532423619103,"[-1242.7047703552246, -1508.07525487264, -576.7867041269939, -1951.8960005696615, -1486.953177947998]",1046.4644855143235
30,1209.9547183259335,"[-1003.7031209627787, 212.101387535731, -286.6885874255498, -962.5845431232452, -1606.1640212599436]",0.04598564214344757,"[-1242.3502186584474, -1512.366269226074, -580.9267463175456, -1959.6080382283528, -1483.375879160563]",1047.6151606445305
31,1223.2439133987446,"[-952.1297794691721, 187.85376671473185, -282.8685252602895, -934.1949467976888, -1606.4794216982523]",0.03531530563666214,"[-1238.0857461039225, -1508.9786059570313, -586.6755768076579, -1987.8362865193685, -1482.5151159667969]",1047.508600423177
32,1266.7617396030419,"[-844.6336061318715, 208.21785127957662, -280.29117203553517, -911.2441165065766, -1607.5339433066051]",0.03360498291930222,"[-1236.9055298360188, -1529.6108858744303, -587.252469406128, -2007.5477117411297, -1479.095613454183]",1046.064905761718
33,1297.062769318264,"[-769.0669013484319, 210.89007161776226, -280.2318314361572, -895.3635018221537, -1608.6833322842915]",0.03673792079600389,"[-1239.5994985961913, -1532.2966388448078, -589.4480397033691, -2027.5035438537598, -1478.7482409667969]",1048.0462683919266
34,1201.265533869107,"[-1011.6664091618856, 228.01824367205302, -277.0421226509412, -866.6277410093943, -1611.289644050598]",0.038574581932043654,"[-1241.2550573730468, -1545.973603769938, -592.6807683817545, -2048.005488739014, -1473.74636622111]",1046.1911529947924
35,1524.3299627571107,"[-199.17463700612387, 231.06161611715953, -273.8087351783117, -843.0935173861186, -1609.5098550796508]",0.0305609349157506,"[-1241.6509566752115, -1544.9787455240885, -591.1250153859456, -2077.468830617269, -1473.7089226786295]",1044.3610970052093
36,1195.8777006626121,"[-1021.3371957333883, 235.1432852522532, -272.6013942130407, -838.6317448298137, -1603.340380744934]",0.031066982669969243,"[-1247.641313120524, -1554.88741994222, -594.8384963989258, -2081.2209878031413, -1475.015163269043]",1046.3176106770845
37,1193.6126698141095,"[-1020.3998664697011, 250.00431549231212, -274.0764093788465, -806.0368008550008, -1608.6890300941468]",0.025841159697641464,"[-1245.580663503011, -1577.494597829183, -597.5550392659505, -2110.103189239502, -1474.3834788513184]",1047.1738793945322
38,1192.1420439650221,"[-1015.979890109698, 254.03808957894643, -271.20705375512443, -768.791907081604, -1613.0886616738637]",0.024639581437707725,"[-1255.933484954834, -1575.344575398763, -596.7305881500245, -2153.9488011169433, -1470.6121226501464]",1047.0954186197916
39,1194.6143205620442,"[-1010.6808574946722, 255.5519756603241, -271.178033943971, -757.3481569258372, -1607.5637846533457]",0.025944998266980594,"[-1257.784874572754, -1576.4000942993164, -597.7055671183268, -2160.30385635376, -1470.9298284912109]",1045.6803688151058
40,1212.6542183475506,"[-961.44191649278, 267.6128232908249, -272.3399087381363, -723.5725615056356, -1614.7236403242748]",0.024932567863337075,"[-1258.128281809489, -1589.180653177897, -595.926287206014, -2194.9431039937335, -1473.349632059733]",1047.0303434244793
41,1285.0289869686758,"[-785.353574851354, 271.7435671965281, -267.0081440202395, -733.7061511898041, -1611.9009557215372]",0.02738976271900659,"[-1265.830586751302, -1585.3332286071777, -597.5995292917887, -2191.8745545450847, -1469.9939876302083]",1047.3905187174478
42,1196.071792289417,"[-1011.1758910067877, 264.2425477266312, -267.9467533246676, -724.3469878260295, -1614.47444744428]",0.02603808206151977,"[-1245.3436073303224, -1583.940551961263, -599.0520921579997, -2188.4378381347656, -1469.9389601135254]",1043.6234057617187
43,1205.8180254430752,"[-979.7440037473043, 260.9173336394628, -270.47187413613, -711.163667755127, -1616.0793081792197]",0.025408599626728878,"[-1260.9042069498698, -1581.9573096211752, -598.3151253509521, -2209.4303802490235, -1473.3468922932943]",1048.5126909179696
44,1197.4356088177362,"[-997.328645717303, 266.9739770380656, -270.37446346839266, -715.9280495421092, -1615.4695932706197]",0.025445433614513603,"[-1259.28101465861, -1584.5277426656087, -595.8132687505087, -2202.784840596517, -1467.6676935831706]",1044.6626669921875
45,1246.3349972489689,"[-891.9495663356781, 272.073399254481, -269.77232728481295, -714.0870872306824, -1596.1455104351044]",0.02494258560638021,"[-1261.0726203409831, -1593.2643016560871, -598.7337789408366, -2205.0223537190755, -1473.4706868489584]",1046.9610584309894
46,1195.5091288878136,"[-1002.9741771586736, 273.1065446345011, -269.81427100499474, -711.5823740291595, -1611.523456430435]",0.02552298018160703,"[-1263.926109720866, -1595.9534883117676, -601.6789624277751, -2209.695131632487, -1472.3189196268718]",1048.5312244466152
47,1320.368629584629,"[-688.6626434357961, 271.4124436124166, -270.3927627801895, -697.2925406805674, -1614.7359453678132]",0.025901433609299904,"[-1263.0953714497884, -1594.9629298909506, -599.9965608215332, -2216.7881201171876, -1470.7611445617677]",1046.7440309244782
48,1294.206496314684,"[-753.1289831495285, 276.1774763695399, -268.97852566480634, -706.1480126190186, -1616.3240678278605]",0.026299821310434103,"[-1272.3607897949219, -1597.4694962056478, -600.1115505472819, -2218.9551036580406, -1471.0378958129884]",1050.2752379557287
49,1193.7123562148413,"[-1004.1794839859009, 280.3192092784246, -269.1708835721016, -697.0980841223399, -1616.7998489284516]",0.02595086053668638,"[-1265.0206112162273, -1601.702215270996, -600.0139421844483, -2223.3145810953774, -1473.144713083903]",1048.3858063151042
50,1247.1519412803648,"[-899.155998433431, 281.2776968638102, -268.32995708147683, -693.5268026924133, -1585.942007630666]",0.02630295394337736,"[-1268.2351212056478, -1601.5502895609538, -599.3069928232828, -2226.1770439656575, -1472.370364481608]",1047.7439464518231
51,1423.7937889776244,"[-424.1890698385239, 285.2872996409734, -269.0218495297432, -694.2338847955068, -1614.5838661575317]",0.027453373037909234,"[-1277.0291580200196, -1600.8117142740884, -597.4749012502034, -2230.6404330444334, -1469.5379812113445]",1047.84859765625
52,1407.9163441441854,"[-466.99562528292336, 283.23836537679034, -264.94681772549944, -685.1966165161133, -1616.6378968365987]",0.026544261895032832,"[-1271.2836829630535, -1605.0884462483723, -601.2471863810222, -2236.9942651367187, -1474.9467866516113]",1049.4825582682288
53,1200.2362089678452,"[-994.0583734639486, 286.45454028288526, -269.891692331632, -688.2824524752299, -1600.9244802061717]",0.02632310100957208,"[-1277.4619674173991, -1603.8068247477213, -598.3707154210408, -2233.862413330078, -1472.5697462972005]",1048.1775240885413
54,1193.6547819019934,"[-999.8208161560694, 286.19781453291574, -268.81842183510463, -689.9058031908671, -1617.4045102818807]",0.025124991745639515,"[-1270.880690612793, -1605.6594612121582, -599.8066491953532, -2233.6423149617513, -1472.7034093729656]",1048.8208369140623
55,1766.242005406378,"[-455.45776392936705, 1180.8343555275599, -265.9177449123065, -690.8160744253794, -1615.1282942263285]",0.025965601769906546,"[-1278.388386891683, -1611.6793577067058, -600.2802586364746, -2234.304980875651, -1472.6415821329754]",1049.381618326823
56,1193.586219417569,"[-997.7162226756413, 300.32961184183756, -268.6111708100637, -686.1334606011709, -1616.9344239377976]",0.026530481135851006,"[-1270.8949509175618, -1622.4741629536948, -600.0134189097087, -2233.382389119466, -1471.3495827738443]",1047.7337402343749
57,1193.6135983765926,"[-998.2755124648412, 298.83629574775694, -269.32608498891193, -686.182947699229, -1616.9865315087636]",0.025395292456184205,"[-1270.91761622111, -1619.4926405334472, -599.0007290140787, -2233.0126689656577, -1469.0708081563314]",1046.9972426757809
58,1210.4296466760645,"[-1001.748332508405, 295.08474001725517, -269.6381716767947, -677.8969083976746, -1570.8990113830566]",0.02546784117235802,"[-1269.5549044799805, -1617.2156409200034, -598.9402016703287, -2243.8811408487954, -1478.325064493815]",1049.3223447265623
59,1201.031571695963,"[-1004.6720810540518, 294.64676335970563, -264.7685409704844, -657.6529875342051, -1614.23977364858]",0.0246196663332618,"[-1261.1383371480306, -1609.082662150065, -600.0707435353597, -2240.7160267130535, -1467.124323984782]",1042.9841263020828
60,1491.4651917959852,"[-287.54723884264627, 294.6267754777273, -267.7864845164617, -659.9135718854268, -1592.7952222601573]",0.0262680701057252,"[-1272.8776426188151, -1614.4938319905598, -600.6929863484701, -2260.9921478271485, -1478.7068431599935]",1051.4730271809897
61,1194.6775897169102,"[-999.3992671505611, 290.32461610953015, -260.5503089928627, -671.5678764597575, -1613.1074520365398]",0.025392897829636545,"[-1270.483257039388, -1604.4630749511718, -604.4624243418376, -2247.270265909831, -1466.8927732849122]",1044.4178019205735
62,1329.484086859066,"[-1001.710882953008, 620.5324722305934, -262.13598010937375, -669.7548241742452, -1605.406052796046]",0.0251589784452032,"[-1269.630244700114, -1606.1140492248535, -604.3103916676839, -2247.9116220092774, -1468.4497487894694]",1045.2249013671883
63,1626.6869278081251,"[-20.41965235074361, 391.58019919395446, -264.5180173110962, -669.9253265539805, -1612.4323197778067]",0.025328649943354927,"[-1271.119913075765, -1607.6907394917805, -603.1497052001953, -2250.5986607869468, -1470.7660231526693]",1046.6560911458332
